<118>2024-11-16T18:46:01Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:46:01Z, ConnectionID: 19792, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 60953, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:17:53Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:17:53Z, ConnectionID: 23282, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 55872, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:18:53Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:18:53Z, ConnectionID: 22721, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 58111, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:19:34Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:19:34Z, ConnectionID: 23319, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 63881, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:19:54Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:19:54Z, ConnectionID: 22751, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 62762, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:20:34Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:20:34Z, ConnectionID: 23347, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 63225, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:20:54Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:20:54Z, ConnectionID: 22784, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 55765, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:21:34Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:21:34Z, ConnectionID: 23368, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 49426, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:21:54Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:21:54Z, ConnectionID: 23384, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 65152, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:22:34Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:22:34Z, ConnectionID: 23401, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 51299, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:22:56Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:22:56Z, ConnectionID: 23417, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 54768, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:23:34Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:23:34Z, ConnectionID: 22838, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 57369, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:23:56Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:23:56Z, ConnectionID: 23450, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 55452, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:24:54Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:24:54Z, ConnectionID: 23491, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 63014, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:24:57Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:24:57Z, ConnectionID: 23495, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 63014, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:25:54Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:25:54Z, ConnectionID: 22872, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 49673, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:25:57Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:25:57Z, ConnectionID: 23529, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 62189, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:26:57Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:26:57Z, ConnectionID: 22898, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 55850, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:26:59Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:26:59Z, ConnectionID: 23564, SrcIP: 192.168.95.5, DstIP: 192.168.100.1, SrcPort: 51229, DstPort: 22, Protocol: tcp, IngressInterface: inside, EgressInterface: outside, IngressZone: inside_zone, EgressZone: outside_zone, Priority: 1, GID: 1, SID: 1325, Revision: 14, Message: INDICATOR-SHELLCODE ssh CRC32 overflow filler, Classification: Executable Code was Detected, Client: SSH client, ApplicationProtocol: SSH, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:27:14Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:27:14Z, ConnectionID: 22905, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 57487, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:27:53Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:27:53Z, ConnectionID: 22940, SrcIP: 192.168.95.5, DstIP: 142.250.74.238, SrcPort: 51238, DstPort: 443, Protocol: tcp, IngressInterface: inside, EgressInterface: outside, IngressZone: inside_zone, EgressZone: outside_zone, Priority: 2, GID: 129, SID: 15, Revision: 2, Message: STREAM5_BAD_RST, Classification: Potentially Bad Traffic, WebApplication: Google, Client: SSL client, ApplicationProtocol: HTTPS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, SSLFlowStatus: Success, SSLActualAction: Do Not Decrypt, SSLCertificate: 2a567fc1738d7a48d9e7528315279dc3c9237152, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:27:58Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:27:58Z, ConnectionID: 23649, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 53733, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:28:15Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:28:15Z, ConnectionID: 22966, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 51961, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:28:45Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:28:45Z, ConnectionID: 23690, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 55798, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 1, SID: 57756, Revision: 2, Message: MALWARE-CNC DNS Fast Flux attempt, Classification: A Network Trojan was Detected, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:28:48Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:28:48Z, ConnectionID: 23693, SrcIP: 192.168.95.5, DstIP: 192.168.100.1, SrcPort: 51258, DstPort: 22, Protocol: tcp, IngressInterface: inside, EgressInterface: outside, IngressZone: inside_zone, EgressZone: outside_zone, Priority: 2, GID: 128, SID: 6, Revision: 2, Message: SSH_EVENT_PAYLOAD_SIZE, Classification: Potentially Bad Traffic, Client: PuTTY, ApplicationProtocol: SSH, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:28:58Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:28:58Z, ConnectionID: 23001, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 51965, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:29:55Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:29:55Z, ConnectionID: 23017, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 53654, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:29:58Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:29:58Z, ConnectionID: 23022, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 53654, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:30:55Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:30:55Z, ConnectionID: 23045, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 64141, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:30:58Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:30:58Z, ConnectionID: 23048, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 64141, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:31:55Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T20:31:55Z, ConnectionID: 23776, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 65031, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:31:58Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:31:58Z, ConnectionID: 23087, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 64411, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T20:32:49Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T20:32:49Z, ConnectionID: 23130, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 54695, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 1, SID: 57756, Revision: 2, Message: MALWARE-CNC DNS Fast Flux attempt, Classification: A Network Trojan was Detected, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

